Element,Node_1,Node_2
0,1,2
1,9,10
2,12,13
3,18,19
4,21,22
5,25,26
6,27,28
7,27,25
8,29,30
9,29,27
10,34,35
11,33,34
12,37,38
13,39,40
14,43,44
15,46,47
16,48,49
17,48,46
18,52,51
19,56,57
20,56,55
21,59,60
22,61,59
23,62,61
24,64,65
25,63,64
26,66,65
27,67,66
28,0,5
29,5,1
30,7,3
31,9,6
32,7,1
33,8,4
34,5,9
35,8,7
36,6,1
37,11,7
38,11,6
39,13,8
40,13,11
41,10,15
42,15,6
43,16,11
44,16,15
45,12,16
46,14,19
47,10,14
48,19,15
49,20,16
50,20,19
51,17,12
52,17,20
53,21,18
54,14,21
55,23,20
56,23,18
57,24,17
58,24,23
59,22,26
60,26,18
61,28,23
62,28,26
63,30,24
64,30,28
65,31,25
66,22,31
67,33,32
68,31,33
69,32,25
70,36,27
71,36,32
72,38,29
73,38,36
74,35,32
75,40,36
76,40,35
77,37,40
78,41,42
79,34,41
80,42,35
81,39,42
82,44,37
83,44,39
84,45,47
85,41,45
86,47,42
87,49,39
88,49,47
89,43,49
90,50,46
91,45,50
92,53,43
93,53,48
94,54,51
95,50,54
96,51,46
97,52,48
98,57,53
99,57,52
100,58,60
101,54,58
102,60,51
103,55,52
104,55,60
105,63,59
106,58,63
107,61,55
108,62,56
109,65,59
110,66,61
111,67,62
